iter	Passed	Remaining
0	116	116118
1	117	58649
2	118	39438
3	119	29846
4	121	24142
5	122	20278
6	124	17619
7	125	15558
8	126	13949
9	127	12654
10	129	11621
11	130	10750
12	131	10007
13	132	9364
14	134	8808
15	135	8326
16	136	7892
17	138	7533
18	139	7190
19	140	6883
20	141	6602
21	142	6345
22	143	6113
23	144	5895
24	146	5696
25	147	5513
26	148	5343
27	149	5184
28	150	5039
29	151	4902
30	152	4778
31	154	4668
32	155	4556
33	156	4456
34	157	4352
35	158	4256
36	160	4165
37	161	4078
38	162	3996
39	163	3922
40	164	3848
41	165	3782
42	166	3712
43	168	3651
44	169	3589
45	170	3529
46	171	3469
47	172	3411
48	173	3358
49	173	3302
50	174	3249
51	175	3202
52	176	3156
53	177	3114
54	178	3074
55	180	3036
56	181	2996
57	182	2959
58	183	2931
59	184	2897
60	185	2862
61	187	2833
62	188	2801
63	189	2768
64	190	2738
65	191	2709
66	192	2678
67	193	2650
68	194	2622
69	195	2595
70	196	2570
71	197	2545
72	198	2523
73	199	2502
74	200	2477
75	202	2459
76	203	2436
77	204	2415
78	205	2396
79	206	2377
80	207	2358
81	209	2343
82	209	2317
83	210	2299
84	212	2284
85	213	2269
86	214	2255
87	216	2247
88	218	2232
89	219	2219
90	220	2205
91	221	2189
92	222	2173
93	223	2157
94	224	2142
95	225	2127
96	227	2113
97	228	2101
98	229	2092
99	231	2080
100	232	2068
101	233	2054
102	234	2044
103	236	2034
104	237	2023
105	238	2010
106	239	2000
107	240	1987
108	241	1974
109	242	1962
110	243	1953
111	245	1943
112	246	1935
113	247	1925
114	248	1915
115	250	1905
116	250	1893
117	251	1883
118	252	1871
119	253	1860
120	254	1852
121	255	1840
122	257	1832
123	258	1823
124	259	1816
125	260	1807
126	261	1797
127	262	1789
128	263	1782
129	265	1774
130	266	1766
131	267	1758
132	268	1752
133	270	1745
134	271	1738
135	272	1731
136	273	1724
137	275	1719
138	276	1712
139	277	1704
140	278	1698
141	279	1689
142	280	1682
143	281	1674
144	282	1668
